ID,AVG_ERROR,MAX_ERROR,END_ERROR,E25,E50,E75,E100,NUM_RANK,TERMINATED,,,,,,,,,
123,0,0,0,0,0,0,0,1,2000,,,,,,,,,
124,0,0,0,0,0,0,0,1,2000,,,,,,,,,
125,0,0,0,0,0,0,0,1,2000,,,,,,,,,
126,0.0025,0.01,0,0,0,0,0,1,2000,,,,,,,,,
127,0.00375,0.01,0,0.01,0,0.01,0,1,2000,,,,,,,,,
128,0,0,0,0,0,0,0,1,2000,,,,,,,,,
129,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
130,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
131,0.00375,0.01,0,0.01,0.01,0.01,0,1,2000,,,,,,,,,
132,0,0,0,0,0,0,0,1,2000,,,,,,,,,
133,0,0,0,0,0,0,0,1,2000,,,,,,,,,
134,0,0,0,0,0,0,0,1,2000,,,,,,,,,
135,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
136,0.00625,0.03,0,0.02,0,0,0,1,2000,,,,,,,,,
137,0,0,0,0,0,0,0,1,2000,,,,,,,,,
138,0,0,0,0,0,0,0,1,2000,,,,,,,,,
139,0,0,0,0,0,0,0,1,2000,,,,,,,,,
140,0.025,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
141,0,0,0,0,0,0,0,1,2000,,,,,,,,,
142,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
143,0,0,0,0,0,0,0,1,2000,,,,,,,,,
144,0,0,0,0,0,0,0,1,2000,,,,,,,,,
145,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
146,0,0,0,0,0,0,0,1,2000,,,,,,,,,
147,0,0,0,0,0,0,0,1,2000,,,,,,,,,
148,0,0,0,0,0,0,0,1,2000,,,,,,,,,
149,0.01625,0.1,0,0.01,0.1,0.01,0,1,2000,,,,,,,,,
150,0,0,0,0,0,0,0,1,2000,,,,,,,,,
151,0,0,0,0,0,0,0,1,2000,,,,,,,,,
152,0,0,0,0,0,0,0,1,2000,,,,,,,,,
153,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
154,0,0,0,0,0,0,0,1,2000,,,,,,,,,
155,0,0,0,0,0,0,0,1,2000,,,,,,,,,
156,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
157,0.01375,0.1,0.1,0.01,0,0,0.1,1,2000,,,,,,,,,
158,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
159,0,0,0,0,0,0,0,1,2000,,,,,,,,,
160,0.0177218,0.141774,0,0.141774,0,0,0,1,2000,,,,,,,,,
161,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
162,0.005,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
163,0,0,0,0,0,0,0,1,2000,,,,,,,,,
164,0.00375,0.01,0,0.01,0.01,0,0,1,2000,,,,,,,,,
165,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
166,0.0176777,0.141421,0,0.141421,0,0,0,1,2000,,,,,,,,,
167,0.0025,0.01,0,0,0.01,0,0,1,2000,,,,,,,,,
168,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
169,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
170,0,0,0,0,0,0,0,1,2000,,,,,,,,,
171,0,0,0,0,0,0,0,1,2000,,,,,,,,,
172,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
173,0.00375,0.01,0.01,0.01,0,0,0.01,1,2000,,,,,,,,,
174,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
175,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
176,0,0,0,0,0,0,0,1,2000,,,,,,,,,
177,0,0,0,0,0,0,0,1,2000,,,,,,,,,
178,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
179,0,0,0,0,0,0,0,1,2000,,,,,,,,,
180,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
181,0,0,0,0,0,0,0,1,2000,,,,,,,,,
182,0,0,0,0,0,0,0,1,2000,,,,,,,,,
183,0,0,0,0,0,0,0,1,2000,,,,,,,,,
184,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
185,0,0,0,0,0,0,0,1,2000,,,,,,,,,
186,0,0,0,0,0,0,0,1,2000,,,,,,,,,
187,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
188,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
189,0,0,0,0,0,0,0,1,2000,,,,,,,,,
190,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
191,0,0,0,0,0,0,0,1,2000,,,,,,,,,
192,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
193,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
194,0.00125,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
195,0,0,0,0,0,0,0,1,2000,,,,,,,,,
196,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
197,0,0,0,0,0,0,0,1,2000,,,,,,,,,
198,0.0176777,0.141421,0,0.141421,0,0,0,1,2000,,,,,,,,,
199,0,0,0,0,0,0,0,1,2000,,,,,,,,,
200,0.0025,0.01,0,0.01,0,0,0,1,2000,,,,,,,,,
201,0,0,0,0,0,0,0,1,2000,,,,,,,,,
202,0.0025,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
203,0,0,0,0,0,0,0,1,2000,,,,,,,,,
204,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
205,0.00125,0.01,0.01,0,0,0,0.01,1,2000,,,,,,,,,
206,0,0,0,0,0,0,0,1,2000,,,,,,,,,
207,0.0125623,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
208,0,0,0,0,0,0,0,1,2000,,,,,,,,,
209,0,0,0,0,0,0,0,1,2000,,,,,,,,,
210,0.0125623,0.100499,0,0.100499,0,0,0,1,2000,,,,,,,,,
211,0,0,0,0,0,0,0,1,2000,,,,,,,,,
212,0.0125,0.1,0,0.1,0,0,0,1,2000,,,,,,,,,
213,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
214,0.0125,0.1,0,0,0,0,0,1,2000,,,,,,,,,
215,0,0,0,0,0,0,0,1,2000,,,,,,,,,
216,0,0,0,0,0,0,0,1,2000,,,,,,,,,
217,0,0,0,0,0,0,0,1,2000,,,,,,,,,
218,0,0,0,0,0,0,0,1,2000,,,,,,,,,
219,0,0,0,0,0,0,0,1,2000,,,,,,,,,
220,0,0,0,0,0,0,0,1,2000,,,,,,,,,
221,0,0,0,0,0,0,0,1,2000,,,,,,,,,
222,0,0,0,0,0,0,0,1,2000,,,,,,,,,
223,0,0,0,0,0,0,0,1,2000,,,,,,,,,
224,0.01625,0.1,0,0.02,0,0,0,1,2000,,,,,,,,,
225,0,0,0,0,0,0,0,1,2000,,,,,,,,,
226,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
227,0.00375,0.02,0,0.02,0,0,0,1,2000,,,,,,,,,
228,0,0,0,0,0,0,0,1,2000,,,,,,,,,
229,0.0125,0.1,0,0,0.1,0,0,1,2000,,,,,,,,,
230,0,0,0,0,0,0,0,1,2000,,,,,,,,,
231,0.00125,0.01,0,0,0,0,0,1,2000,,,,,,,,,
232,0.0138123,0.100499,0,0.01,0,0,0,1,2000,,,,,,,,,
